gy_obs,gp_obs
1.038361848800944,0.995560488346282
1.026698201177688,1.003901895206243
1.03351854312335,1.022765130483065
1.016303778703926,1.016829533116178
1.004690447705582,1.038974906567005
1.014280758630115,1.004624871531346
1.014563701618431,1.000511508951407
0.9968543791203329,1.011758691206544
1.006677793409589,0.998989388580091
0.9959446236114557,1.002529084471421
1.002321972240406,1.010595358224016
1.026199965931845,1.004493260109835
1.01596854382674,0.9990059642147118
1.004010077477582,1.001990049751244
0.9898081484214409,1.003972194637537
0.9802404297875824,1.002472799208704
0.9912156332552973,1.003453379378392
0.9955423015858715,1.002458210422812
1.006067739365007,1.001471309465424
1.01465121868034,1.002448579823702
1.023956300372084,1.004396678065462
1.014055541093212,1.002918287937743
1.00799586458257,1.007759456838021
1.000318718798002,1.010587102983638
0.9924294461613504,1.009523809523809
1.002769582182186,1.006132075471698
0.9931576388514558,1.013595874355368
1.011334721942962,1.004162812210916
1.001333675550785,1.013818516812529
0.9932195307774583,1.006360745115856
1.005957550014093,1.005417607223476
0.9843344268648867,1.000898069151325
0.9685261332871797,1.012113055181696
1.001960291132494,1.00354609929078
1.01940388635877,1.005742049469965
1.018637464995793,1.004830917874396
1.016616993288192,1.001748251748252
1.022965428691695,0.9995636998254799
0.9949007029695747,1.001309471846355
0.9998654100009913,1.003923278116827
1.013529108391532,1.004342162396874
0.9904385539158941,1.003891050583658
0.9970439631521301,1.004306632213609
0.9824436544490449,1.003430531732418
1.001896526095982,1.002136752136752
1.014012346737039,1.002558635394456
1.013474871957377,1.002126754572522
1.016382394402008,1.002971137521222
1.013849610195207,1.005078290308929
1.006965459667453,1.002526315789474
1.005837083657404,1.002519949601008
0.997920608909262,1.002932551319648
1.009602848949622,1.00250626566416
1.008448455557101,1.002916666666667
1.015099061529582,1.002077274615704
1.003231741383318,1.007048092868988
1.020656627871674,1.00247015232606
1.008368551670767,1.002464065708419
1.008232785016771,1.004506349856616
1.000159542700529,1.00489396411093
1.022428919871923,1.005275974025974
1.010583468470827,1.004440855874041
1.015010562846799,1.005225080385852
1.02141457403402,1.006397441023591
1.021662547090243,1.00595947556615
1.001702084553776,1.008293838862559
1.003797725687984,1.010184097140619
1.005318157074836,1.008918185343156
1.00551611956057,1.004611837048424
0.9983002091537666,1.006503442999235
1.005058897145481,1.011022424933485
1.004715179715106,1.011278195488722
1.016159732969592,1.011524163568773
1.014951140633097,1.010290334435869
1.004571112783157,1.009457984721717
1.00185995497747,1.013333333333333
1.013105432827478,1.009601706970128
1.000177021150565,1.011976047904192
1.002918928211014,1.014270797076227
0.9920768126061278,1.012697323266987
0.9957437039904706,1.014571331751948
0.9984054179125594,1.014028056112224
1.005811117793546,1.008234519104084
0.9867713959478989,1.013394315583143
1.024010956881811,1.015473887814313
1.002710667353171,1.013650793650794
1.003439472472856,1.010648293141247
0.9997492431712409,1.008366904245429
1.017636050598246,1.014751075599263
1.020656759459709,1.005451241671714
1.007764779920605,1.008734939759036
1.01456168408515,1.013735443415945
1.024639475791595,1.012076583210604
1.004642409787667,1.016880093131548
0.9944751144525267,1.019175729822553
1.007790038619182,1.019095759618085
0.9881041124843981,1.019840176357123
1.001537639221991,1.021075385031073
0.9866249743042985,1.030960571579783
0.990779067789768,1.030030800821355
0.984202549476256,1.022925492150511
1.006599842813945,1.014859926918392
1.01572359900605,1.018002880460874
1.009027629472424,1.018391888705494
1.021110020223576,1.011576753878213
1.004688007749569,1.01052872510872
1.00141846633279,1.014043035107588
1.006600570610075,1.0178691087782
1.009738134835758,1.016458196181699
1.017612419396922,1.01619170984456
1.013443262875076,1.012534523050775
0.9969006916317731,1.020352496852707
1.001623634551754,1.016245116183426
1.035396393139562,1.020032375556455
1.006228837491197,1.017060107121603
1.008375462741865,1.021064950263312
0.9978948790424976,1.022158548233047
0.9995603860782909,1.021304429078677
1.003305590259482,1.021408966148216
0.9993339196000433,1.019706198495163
1.002058706424327,1.022136331693605
0.973264868251988,1.023547610862839
0.9960599879042776,1.024517212426532
1.016881726847253,1.025897393869857
1.016694965654013,1.024924109282633
0.9888263911862731,1.019017926734217
1.009210442165513,1.019580847483555
0.9849574877314445,1.018304576144036
0.9813189289769133,1.014586709886548
1.001901505294092,1.012489108335754
0.9925470459365847,1.013482501434309
0.9988653298228214,1.011038777243136
1.007640554466466,1.008958566629339
1.019470216202808,1.010405105438402
1.015439124030103,1.008924893587807
1.016225535437388,1.009662493195427
1.021184460100726,1.011187491575684
1.013641693419474,1.007464676086377
1.004852596178069,1.008864779042075
1.004008901639205,1.007344262295082
1.008421963662744,1.010675693269105
1.0029124252951,1.007986603117352
1.011755192647018,1.006517571884984
1.003824279447769,1.008760792280345
1.010469616735678,1.004531151667716
0.9990090790916321,1.005137200852023
1.002888446244,1.007728745948641
1.003143463237344,1.007545769421079
1.004383855078334,1.007857581338244
1.007976308750686,1.007187233524181
1.006301771347702,1.007861635220126
1.012174823255131,1.009120364814593
1.004031420373003,1.006897371863479
1.008059834262916,1.010511397189087
1.00331336535076,1.012856474988312
1.010090406614768,1.009000692360951
1.007741148272969,1.011550777676121
1.005156442815526,1.010627473148672
1.002578150838212,1.008278330909498
0.9981874522752823,1.00832131365805
1.007448440324269,1.012323943661972
1.000528573569216,1.012826086956522
0.9923024120764135,1.010302640051513
0.9868341296177798,1.010303802846824
0.9923760959851408,1.0121964041636
1.001924756076015,1.007582839929365
0.9996242427645722,1.007216494845361
0.9996760105334512,1.006243602865916
1.009171213292365,1.008340962262232
1.003500774145286,1.006657923938263
1.004402337150935,1.003807996793266
1.007734762348467,1.007087950484177
0.9977633480714073,1.009516256938938
1.002580365749726,1.005007855459544
1.002440485047191,1.004689789936492
1.010400029938129,1.006612856170378
1.005233957455249,1.005989759443532
1.009237409699927,1.00556996062614
1.001766871088229,1.006494126635469
1.006407069007927,1.006641996394345
1.002229887684774,1.006221133000283
0.9986764768699558,1.004590163934426
1.005626874756858,1.004755688176054
1.004378108010232,1.005011600928074
1.006283136230948,1.005725367069905
1.012600743193794,1.003030024791112
1.002789700947353,1.004577077993409
1.008125853675339,1.004465099325679
1.008493578098231,1.006985394175814
1.007636358148353,1.003873873873874
1.007969756444389,1.002961500493583
1.004889260717112,1.00286327845383
